nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
NENI ROHAENI,5978803,Pendidikan Kesejahteraan Keluarga (S1),650,279,1,5
DITA AMANAH,5976422,Pendidikan Bisnis (S1),732,278,2,19
ANDOYO SASTROMIHARJO,5987306,Pendidikan Bahasa Indonesia (S3),536,276,3,8
VINA DWIYANTI,6745842,Teknik Logistik (S1),308,264,3,6
KARTIKA YULIANTI,5979108,Pendidikan Matematika (S1),543,264,3,9
GALUH YULIANI,5975260,Kimia (S2),924,263,7,9
MOKHAMAD SYAOM BARLIANA,257912,Arsitektur (S2),818,262,3,9
RUSMAN,5995802,Pengembangan Kurikulum (S2),619,262,2,10
ELIH SUDIAPERMANA,6687259,Pendidikan Masyarakat (S3),543,261,1,6
RICKY WIBOWO,5982918,PGSD Pendidikan Jasmani (S1),428,260,0,6
SYARIP HIDAYAT,5996277,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),529,260,2,10
ARIF ISMAIL,5974521,Survey Pemetaan dan Informasi Geografis (D3),584,259,4,9
YENI RACHMAWATI,5988495,Pendidikan Guru Pendidikan Anak Usia Dini (S1),777,256,1,14
TAOPIK RAHMAN,5978619,PGPAUD Kampus Tasikmalaya (S1),660,256,1,8
RIDWAN EFENDI,5987645,Pendidikan Fisika (S1),584,256,3,7
JAJAT S ARDIWINATA,5994332,Pendidikan Masyarakat (S3),508,255,1,6
AYU KRISHNA YULIAWATI,5977407,Manajemen (S1),647,255,4,11
DIDIK PRIYANDOKO,6658318,Biologi (S1),1.081,255,8,12
CECE RAKHMAT,5993220,Pendidikan Khusus (S1),482,254,2,9
ASEP SOPIAN,258048,Pendidikan Bahasa Arab (S1),562,253,0,5
LISNA ANISA FITRIANA,5995020,Keperawatan (D3),431,253,2,5
YAYANG FURI FURNAMASARI,6732204,PGSD Kampus Cibiru (S1),1.021,251,0,10
HENDRAWAN,5994163,Kimia (S1),825,250,8,7
FEBBRY CIPTA,5995501,Pendidikan Seni Musik (S1),333,250,1,3
AL AZHARY MASTA,6007709,Matematika (S1),655,250,5,6
MUHAMMAD HANIF,6747537,PGSD Kampus Serang (S1),448,250,3,7
HERLI SALIM,6003534,PGSD Kampus Serang (S1),433,249,1,5
MUSTOFA KAMIL,5994180,Pendidikan Masyarakat (S2),678,249,2,14
ENDANG CAHYA MULYANING A,6121877,Pendidikan Matematika (S2),619,239,4,5
UDIN SYAEFUDIN SAUD,6134774,Pendidikan Dasar (S3),554,239,2,17
DEDI ROHENDI,5978259,Pendidikan Teknik Otomotif (S1),1.049,239,5,11
ERNA PIANTARI,6143243,Pendidikan Ilmu Komputer (S1),336,238,2,4
FITRI NURAENI,6694029,PGSD Kampus Purwakarta (S1),474,238,2,5
DEDE ROHMAT NURJAYA,6011830,Pendidikan Kepelatihan Olahraga (S1),293,237,2,5
